ASV;host_species;Phylum;Class;Order;Family;Genus;Species;Prevalence;TotalAbundance;MeanAbundance;RelAbund;RelPrev;meanUniq;Sample_size;closeness;betweenness;degree;hubbiness;weighted_deg;sum_pos;sum_neg;Freq_won;Freq_lost;Proportion_positive;proportion_negative
00a93baf8390a69897e64e2bde5e8e94;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;GCA-900066225;D_6__uncultured bacterium;17;129;9.49E-05;0.009485294;0.125;0.147522812;136;0.011623076;1668;27;0.215343048;1.270199091;21;6;5;1;0.777777778;0.222222222
00d77ed42c0f0d1cbad479de2818e2fc;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;NA;19;147;0.000108088;0.010808824;0.139705882;0.024314026;136;0.011799963;5652;33;0.386729692;1.695459677;25;8;6;2;0.757575758;0.242424242
00dcba6e262a3194c68f52e6af48a071;Human;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;NA;161;5179;0.002271491;0.227149123;0.706140351;0.048208398;228;3.40E-05;0;4;0.001678887;0.263410876;4;0;0;0;1;0
00e990e1fd11e20e382c2a94045a9600;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;23;132;9.71E-05;0.009705882;0.169117647;0.034947747;136;0.012407974;10280;36;0.339587533;1.381073882;26;10;3;7;0.722222222;0.277777778
0110ab7a8dc78b235c295bfc979306ef;Deer;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;uncultured;D_6__uncultured bacterium;15;57;4.19E-05;0.004191176;0.110294118;0.237727428;136;0.01216451;15557;25;0.099276374;1.161469801;18;7;0;7;0.72;0.28
013790a7529ea251f400d4f0e61d7156;Human;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;NA;30;251;0.000110088;0.011008772;0.131578947;0.102558877;228;3.40E-05;12;4;0.008184253;0.177250685;4;0;0;0;1;0
013894f4a133fd264239f44e5fc9533c;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 1;D_6__uncultured rumen bacterium;21;67;4.93E-05;0.004926471;0.154411765;0.152878677;136;0.012074935;343;23;0.165943104;1.168561116;17;6;1;5;0.739130435;0.260869565
0142be353b8d5631dd941544c5304f03;Meerkat;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;NA;6;18;4.09E-05;0.004090909;0.136363636;0.386227563;44;0.019724701;738;10;0.066314571;0.698027328;6;4;1;3;0.6;0.4
0143dbf3556e4dbbd2af3a0419d68edb;Spinyrat;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured;NA;22;354;0.000180612;0.018061224;0.112244898;0.106868506;196;2.20E-06;0;0;0;0;0;0;0;0;0;1
015f7c319d3946709f9d121922aa2f25;Stint;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium;D_6__uncultured bacterium;19;6061;0.006248454;0.624845361;0.195876289;0.002298945;97;0.000318077;524;5;0.001347244;0.456421548;5;0;0;0;1;0
0171208949188c7b5859a83149ddec2c;Deer;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;uncultured rumen bacterium;uncultured rumen bacterium;D_6__uncultured rumen bacterium;24;223;0.000163971;0.016397059;0.176470588;0.078743302;136;0.012195645;1089;20;0.316660075;1.406228924;15;5;4;1;0.75;0.25
018030fe4a456c79a08c376ad5d8b550;Deer;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001;D_6__uncultured bacterium;76;1741;0.001280147;0.128014706;0.558823529;0.332826728;136;0.011652621;4339;26;0.187843004;1.017013324;16;10;9;1;0.615384615;0.384615385
018045802fc573ebeccce5b54f145d7d;Stint;Spirochaetes;Brachyspirae;Brachyspirales;Brachyspiraceae;Brachyspira;NA;11;588;0.000606186;0.060618557;0.113402062;0.029073299;97;0.000318238;209;4;0.000299183;0.34993203;4;0;0;0;1;0
018a3a42575a1b6750012b82c0595117;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;23;166;0.000122059;0.012205882;0.169117647;0.030873949;136;0.011765509;7086;28;0.150598988;0.842036816;22;6;2;4;0.785714286;0.214285714
018bf6975adb2245715afd26e1c5eaed;Spinyrat;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;D_6__uncultured bacterium;21;311;0.000158673;0.015867347;0.107142857;0.033896196;196;1.57E-05;777;4;0.003711168;0.106825867;3;1;0;1;0.75;0.25
018ff1812c4c2f25e8c1d62c70bb258c;Deer;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;dgA-11 gut group;D_6__uncultured bacterium;36;178;0.000130882;0.013088235;0.264705882;0.0862969;136;0.011711723;3829;31;0.218854582;1.15196219;27;4;1;3;0.870967742;0.129032258
01a06f56c0cb645546161727b7def648;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus;D_6__uncultured rumen bacterium;21;75;5.51E-05;0.005514706;0.154411765;0.080962488;136;0.011103565;24;26;0.23791865;1.301944485;23;3;1;2;0.884615385;0.115384615
01d115e944717725f70d973814a0c364;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;15;47;3.46E-05;0.003455882;0.110294118;0.037832772;136;0.012332128;2885;35;0.435572703;1.840161453;25;10;0;10;0.714285714;0.285714286
01da7b6fb155f71d010df752aca174c0;Spinyrat;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;D_6__uncultured bacterium;56;1519;0.000775;0.0775;0.285714286;0.024316554;196;1.57E-05;16;7;0.034500687;0.475260794;7;0;0;0;1;0
01fc4025efd6618c9a36bc68107a5a3d;Stint;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;D_6__uncultured bacterium;13;260;0.000268041;0.026804124;0.134020619;0.014107368;97;0.000319416;0;4;1.87E-05;0.346934275;4;0;0;0;1;0
0219bf7f762c5ddd49385e9a53c9b050;Stint;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;15;232;0.000239175;0.023917526;0.154639175;0.005083953;97;0.000320279;0;4;0.000359551;0.400083937;4;0;0;0;1;0
0285053c5d28b8522ad9443d0ea6b5e1;Meerkat;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dendrosporobacter;D_6__uncultured bacterium;7;14;3.18E-05;0.003181818;0.159090909;0.040540461;44;0.020689769;2875;11;0.056059982;0.615193677;9;2;0;2;0.818181818;0.181818182
028e2c1b650e2e2b5847154a153e0166;Human;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA;23;786;0.000344737;0.034473684;0.100877193;0.155253727;228;3.40E-05;0;1;0.000366815;0.002174049;0;1;1;0;0;1
029e62ed1bec62d6a7cd8364944e489a;Meerkat;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;5;177;0.000402273;0.040227273;0.113636364;0.013241461;44;0.02057584;1408;11;0.11411599;0.924517036;8;3;2;1;0.727272727;0.272727273
029e832c5d7215998b06203ab3326c4b;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;NA;19;103;7.57E-05;0.007573529;0.139705882;0.125892976;136;0.01283891;1194;26;0.134235752;0.823976964;16;10;3;7;0.615384615;0.384615385
029fb3d4c3e661f5b0eb48b245822b61;Flamingo;Firmicutes;Clostridia;Clostridiales;Family XI;NA;NA;281;31545;0.008860955;0.886095506;0.789325843;0.165454106;356;0.00016928;656;3;0.00028121;0.311954877;2;1;0;1;0.666666667;0.333333333
029ffa824e32b38ea50aa94e66eba30f;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-013;D_6__uncultured bacterium;22;148;0.000108824;0.010882353;0.161764706;0.031152243;136;0.012201432;5195;22;0.15912672;0.872807797;11;11;2;9;0.5;0.5
02b3f513af3080647f30ab28937b9fbd;Meerkat;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;uncultured;D_6__uncultured bacterium;18;67;0.000152273;0.015227273;0.409090909;0.181466306;44;0.020213738;10565;10;0.052284868;0.730897453;7;3;1;2;0.7;0.3
02b3f513af3080647f30ab28937b9fbd;Flamingo;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;uncultured;D_6__uncultured bacterium;176;11512;0.003233708;0.323370787;0.494382023;0.375814037;356;0.000169284;288;5;0.004377898;0.396465039;5;0;1;2;1;0
02b744fe62f3dd5796788a5d54808c6c;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;D_6__uncultured bacterium;51;265;0.000194853;0.019485294;0.375;0.151148784;136;0.012023322;4462;30;0.174707052;1.062209615;16;14;4;10;0.533333333;0.466666667
02c8bbcace75aab08108fc6a24298571;Stint;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;NA;12;282;0.000290722;0.029072165;0.12371134;0.040837991;97;0.000322145;3008;10;0.153879276;0.757545383;8;2;1;1;0.8;0.2
02dcb2db5df94ae0aa1f53970c92d527;Deer;Proteobacteria;Alphaproteobacteria;Caedibacterales;Caedibacteraceae;Candidatus Nucleicultrix;D_6__uncultured bacterium;14;27;1.99E-05;0.001985294;0.102941177;0.376470873;136;0.010829877;258;23;0.135726296;0.995847295;15;8;0;8;0.652173913;0.347826087
030c3afe5bb04373a872074367128098;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;D_6__uncultured bacterium;26;84;6.18E-05;0.006176471;0.191176471;0.074883931;136;0.011442162;5063;26;0.292380665;1.291773374;20;6;0;6;0.769230769;0.230769231
03156252fe6d4e8f09aeafc3bef8622f;Human;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;NA;NA;29;4170;0.001828947;0.182894737;0.127192983;0.057216214;228;4.20E-06;0;1;0;0.005968848;1;0;0;0;1;0
032ebc5d8f2f1184b865cbc423a57aa6;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;29;191;0.000140441;0.014044118;0.213235294;0.048238732;136;0.012708519;17707;23;0.13439583;0.80817798;14;9;3;6;0.608695652;0.391304348
03321efea708182df63fb5d50d71c806;Meerkat;Cyanobacteria;Melainabacteria;Gastranaerophilales;uncultured bacterium;uncultured bacterium;D_6__uncultured bacterium;5;79;0.000179545;0.017954545;0.113636364;0.10836781;44;0.019592424;2280;9;0.035983143;0.461771745;7;2;1;1;0.777777778;0.222222222
0336f143458adefd399673eb2f8b265a;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;D_6__uncultured bacterium;40;665;0.000488971;0.048897059;0.294117647;0.046197215;136;0.011518374;627;22;0.132526437;0.706923808;18;4;4;0;0.818181818;0.181818182
0358174d081f2390997ce626472d3ad8;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;D_6__uncultured bacterium;19;49;3.60E-05;0.003602941;0.139705882;0.070545645;136;0.011613763;1518;24;0.171882766;0.910892561;16;8;1;7;0.666666667;0.333333333
035a5f20397db8113e9a4e3906f8ce6b;Meerkat;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;D_6__uncultured bacterium;31;250;0.000568182;0.056818182;0.704545455;0.26736138;44;0.021207071;12910;9;0.048964209;0.922375739;7;2;0;2;0.777777778;0.222222222
036cdc85a57f655a1b737c646c69157a;Deer;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium;D_6__uncultured bacterium;59;1413;0.001038971;0.103897059;0.433823529;0.058939264;136;0.011798957;11329;28;0.373435129;1.435062493;20;8;7;1;0.714285714;0.285714286
036ce41b387852faffa6119117114038;Mouselemur;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;D_6__uncultured organism;26;3900;0.002142857;0.214285714;0.142857143;0.106540319;182;0.000213514;1056;7;0.035695216;0.350472722;6;1;1;0;0.857142857;0.142857143
0381dc03ca3ea9c4868833657c32798b;Stint;Spirochaetes;Brachyspirae;Brachyspirales;Brachyspiraceae;Brachyspira;NA;15;784;0.000808247;0.080824742;0.154639175;0.007634954;97;0.00031928;35;4;7.35E-05;0.171383655;2;2;1;1;0.5;0.5
039458db0f229831ae958983e92752ba;Human;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;NA;23;114;5.00E-05;0.005;0.100877193;0.019018983;228;3.40E-05;49;2;1.77E-06;0.011710484;0;2;0;2;0;1
039b55b9c4883c966d6f7540de6e61c4;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;D_6__uncultured bacterium;14;48;3.53E-05;0.003529412;0.102941177;0.061915102;136;0.012134411;17547;32;0.231385261;1.253268405;25;7;0;7;0.78125;0.21875
03c6792ade99d151cbae394181dde9e4;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-013;D_6__uncultured bacterium;19;125;9.19E-05;0.009191176;0.139705882;0.05216531;136;0.011398115;1667;28;0.212691375;0.967527331;18;10;2;8;0.642857143;0.357142857
03d3cf87c70aba32ac74eb4fd4614c50;Spinyrat;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;NA;NA;36;219;0.000111735;0.011173469;0.183673469;0.091852617;196;1.57E-05;982;4;2.06E-05;0.109659149;2;2;1;1;0.5;0.5
0429a8a999c3238e12bbfaa1714d385e;Flamingo;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;NA;106;96463;0.027096348;2.709634831;0.297752809;0.055711739;356;0.000169306;2444;12;0.19584952;0.800509313;10;2;2;0;0.833333333;0.166666667
043643a90bda365f96926d37d4c82111;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;26;126;9.26E-05;0.009264706;0.191176471;0.055995638;136;0.012303376;13596;30;0.301833745;1.319854405;20;10;4;6;0.666666667;0.333333333
0436fe407d54a9a454b9994fd35529b2;Spinyrat;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;D_6__uncultured bacterium;68;1130;0.000576531;0.057653061;0.346938776;0.064358667;196;1.57E-05;2001;10;0.184626524;0.880162535;7;3;0;3;0.7;0.3
0439164aec7dcf4ccc853675877e5ee7;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;38;103;7.57E-05;0.007573529;0.279411765;0.116745092;136;0.012260387;13039;20;0.231827968;0.825614965;13;7;1;6;0.65;0.35
0454ded5d4cd3ab61d40f98afe863933;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium 10;D_6__uncultured bacterium;16;149;0.000109559;0.010955882;0.117647059;0.042431469;136;0.011956127;7494;36;0.486034822;1.830448608;24;12;7;5;0.666666667;0.333333333
046dcea63777a6346c9e45ac0451df52;Spinyrat;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;NA;26;583;0.000297449;0.029744898;0.132653061;0.034645847;196;2.20E-06;0;0;0;0;0;0;0;0;0;1
046ec752e29dba567a42f07fa7e62ce8;Spinyrat;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;33;435;0.000221939;0.022193878;0.168367347;0.058156443;196;1.57E-05;0;1;8.79E-06;0.002694739;0;1;0;1;0;1
0475dbef5c5151410f470f8168ffe10e;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;D_6__uncultured bacterium;58;517;0.000380147;0.038014706;0.426470588;0.0457822;136;0.012743055;17479;28;0.165048163;0.756975189;20;8;6;2;0.714285714;0.285714286
047748e7ff95332fc3816c7200a567e2;Spinyrat;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;D_6__uncultured bacterium;59;1536;0.000783673;0.078367347;0.301020408;0.075155941;196;1.57E-05;5873;7;0.018920516;0.258830034;6;1;1;0;0.857142857;0.142857143
047d04c501cb84fc4733b7b0385af35b;Spinyrat;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;D_6__uncultured bacterium;56;362;0.000184694;0.018469388;0.285714286;0.109479415;196;1.57E-05;1294;3;4.10E-06;0.046855832;3;0;0;0;1;0
048e72d0afd56032eb69cfbb62937c09;Deer;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 1;D_6__uncultured bacterium;30;652;0.000479412;0.047941176;0.220588235;0.314140703;136;0.011881701;3837;33;0.4027965;1.725645683;21;12;11;1;0.636363636;0.363636364
0494494e7862270e875883b2d13aae9e;Spinyrat;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;23;90;4.59E-05;0.004591837;0.117346939;0.15142861;196;1.57E-05;5114;5;0.051048144;0.142939423;4;1;0;1;0.8;0.2
049e49112c893b717f0c7062d7d3489e;Human;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;218;19024;0.00834386;0.834385965;0.956140351;0.104533333;228;3.40E-05;0;3;0.003030487;0.22033362;3;0;0;0;1;0
04b4d3983e1f8ad7feee6d4ef1291e78;Deer;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] nodatum group;D_6__uncultured bacterium;61;1710;0.001257353;0.125735294;0.448529412;0.060975936;136;0.011905753;4385;33;0.275721439;1.449042022;25;8;8;0;0.757575758;0.242424242
04cad1ad108edb637caa5486b9365023;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;30;299;0.000219853;0.021985294;0.220588235;0.018421091;136;0.01209298;6487;31;0.41939439;1.740403334;25;6;4;2;0.806451613;0.193548387
04cd57b5bba9a5b5cf1fb79e4e7efa9f;Mouselemur;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;31;1133;0.000622527;0.062252747;0.17032967;0.014308314;182;0.0002136;0;5;0.077113398;0.289893301;4;1;0;1;0.8;0.2
04e25bff24b5a4f5ec76826824d74d90;Spinyrat;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;D_6__uncultured bacterium;30;1130;0.000576531;0.057653061;0.153061225;0.083988319;196;1.57E-05;579;2;0.000546868;0.073619566;2;0;0;0;1;0
04e2e5c6b45e2e57b4012bc7a03e7542;Mouselemur;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;D_6__uncultured organism;129;20804;0.011430769;1.143076923;0.708791209;0.16551411;182;0.000212967;0;2;0.002353706;0.219367034;2;0;0;0;1;0
04ecfad5772d2e09a84a0f5ef460536c;Deer;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium;NA;21;64;4.71E-05;0.004705882;0.154411765;0.342647824;136;0.011315162;95;20;0.099793863;0.773542824;18;2;0;2;0.9;0.1
04ecfad5772d2e09a84a0f5ef460536c;Carollia;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium;NA;53;7008;0.004352795;0.435279503;0.329192547;0.145917206;161;0.000760748;1;7;0.011104731;1.00045378;7;0;0;2;1;0
04edaa963304c466674c30f9f9bb087e;Meerkat;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paeniclostridium;NA;8;838;0.001904545;0.190454545;0.181818182;0.034070769;44;0.019688747;836;7;0.013264198;0.176303393;5;2;2;0;0.714285714;0.285714286
04f8583c1ab107350e515c0f5fede528;Deer;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;NA;41;633;0.000465441;0.046544118;0.301470588;0.017215163;136;0.012274985;14129;32;0.262258048;1.369589154;25;7;7;0;0.78125;0.21875
050ad2859006e602d371a68ac863822e;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005;D_6__uncultured bacterium;46;625;0.000459559;0.045955882;0.338235294;0.011108331;136;0.011167376;289;30;0.320527488;1.53674441;19;11;8;3;0.633333333;0.366666667
051c40f697531ad805c1b30f8efba3ea;Deer;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001;D_6__uncultured Bacteroidales bacterium;29;281;0.000206618;0.020661765;0.213235294;0.086180566;136;0.010857385;0;27;0.345557049;1.520411921;22;5;4;1;0.814814815;0.185185185
051e96ee0f8a6b3b63a16675389a07f1;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;D_6__uncultured bacterium;34;196;0.000144118;0.014411765;0.25;0.060420151;136;0.012049282;1721;26;0.155153026;0.824406729;20;6;2;4;0.769230769;0.230769231
05338024e39217c26a61c4e91b6343ba;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;D_6__uncultured bacterium;51;300;0.000220588;0.022058824;0.375;0.05003987;136;0.01235799;26581;35;0.406092131;1.995854097;25;10;4;6;0.714285714;0.285714286
0534033898dbb0287f11679189e4a3a6;Spinyrat;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;NA;44;1114;0.000568367;0.056836735;0.224489796;0.04419801;196;1.57E-05;125;4;0.029839558;0.314780189;3;1;1;0;0.75;0.25
05478bf31da9735f5225359ee7f14456;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;20;96;7.06E-05;0.007058824;0.147058824;0.022154304;136;0.012034378;3321;27;0.226013368;1.259054481;21;6;0;6;0.777777778;0.222222222
055260b4f9170172b75d6867d31ea8fd;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;D_6__uncultured bacterium;40;579;0.000425735;0.042573529;0.294117647;0.028547651;136;0.012081708;15787;36;0.307357321;1.256669341;27;9;7;2;0.75;0.25
055ee17bd75bd7506460f84c85f9493a;Spinyrat;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;D_6__uncultured bacterium;27;690;0.000352041;0.035204082;0.137755102;0.055043292;196;1.57E-05;0;1;8.58E-09;0.0408446;1;0;0;0;1;0
057995ced27a46b0745b1699fa18c19e;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-007;D_6__uncultured bacterium;28;248;0.000182353;0.018235294;0.205882353;0.019963703;136;0.012007373;3443;34;0.386034369;1.525364825;25;9;3;6;0.735294118;0.264705882
057c3c73e3861946b1a40ea8514753e3;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;NA;26;82;6.03E-05;0.006029412;0.191176471;0.139450625;136;0.011933127;3485;26;0.286656736;1.307823167;19;7;0;7;0.730769231;0.269230769
05804ae7ffa110365f95183fe00f5f69;Deer;Bacteroidetes;Bacteroidia;Bacteroidales;p-251-o5;uncultured Bacteroidales bacterium;D_6__uncultured Bacteroidales bacterium;24;212;0.000155882;0.015588235;0.176470588;0.271907761;136;0.012288525;32644;38;0.350717825;1.483582497;25;13;3;10;0.657894737;0.342105263
058a3ad9f48c5bd77cedf828ba0d8aea;Mouselemur;Saccharibacteria;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium;D_6__uncultured bacterium;52;2787;0.001531319;0.153131868;0.285714286;0.137143973;182;0.00021345;0;3;0.020044015;0.31258358;1;2;2;0;0.333333333;0.666666667
059b80bc6cdcbedd59782e2289fad3c4;Mouselemur;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;D_6__uncultured bacterium;22;628;0.000345055;0.034505495;0.120879121;0.00867694;182;3.25E-05;0;1;4.72E-18;0.115666727;1;0;0;0;1;0
059d6e79cba765d062053442b8ada21c;Human;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;D_6__uncultured bacterium;44;9675;0.004243421;0.424342105;0.192982456;0.061044075;228;3.40E-05;142;4;0.016558875;0.062745003;2;2;2;0;0.5;0.5
05a500ea8a0fda0427907bb9d832b213;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;D_6__uncultured bacterium;17;107;7.87E-05;0.007867647;0.125;0.067832478;136;0.011785978;1556;18;0.123874042;0.674751658;13;5;1;4;0.722222222;0.277777778
